Benchmark	L1I_s	L1I_a	L1D_s	L1D_a	L2_s	L2_a	LINE_s		CPI	L1I_miss	L1D_miss	L2_miss		Power	Energy	Delay	Area	EDA
speclibm	32	2	64	2	2	16	64	3.457422	0.000091	0.049017	0.999930	3.866910	0.225167	0.172871	14.902350	0.580070
speclibm	32	2	64	2	2	1	64	3.457422	0.000091	0.049017	0.999930	3.863320	0.225033	0.172871	14.702160	0.571939
speclibm	32	2	64	2	2	2	64	3.457422	0.000091	0.049017	0.999930	3.864920	0.225074	0.172871	14.915740	0.580353
speclibm	32	2	64	2	2	4	64	3.459115	0.000091	0.049017	0.999930	3.865030	0.225176	0.172956	14.910740	0.580707
speclibm	32	2	64	2	2	8	128	2.514562	0.000109	0.024510	0.999808	9.228860	0.207348	0.125728	49.473500	1.289746
speclibm	32	2	64	2	2	8	256	1.888624	0.000122	0.012256	0.999501	27.206600	0.332751	0.094431	90.387300	2.840147
speclibm	32	2	64	2	2	8	32	5.650345	0.000073	0.098032	0.999972	2.225930	0.245372	0.282517	11.513300	0.798121
speclibm	32	2	64	2	2	8	64	3.459115	0.000091	0.049017	0.999930	3.865670	0.225205	0.172956	14.228630	0.554212
speclibm	32	2	64	2	4	8	64	3.454754	0.000091	0.049017	0.999930	3.990780	0.226290	0.172738	20.547230	0.803168
speclibm	32	2	64	4	2	8	64	3.459115	0.000091	0.049017	0.999930	3.598030	0.177649	0.172956	13.092060	0.402260
speclibm	32	4	64	2	2	8	64	3.459115	0.000087	0.049017	0.999951	4.271100	0.238912	0.172956	14.991990	0.619488
speclibm	64	2	128	2	2	8	64	3.459115	0.000087	0.049017	0.999953	5.361990	0.354056	0.172956	19.275300	1.180343
specmcf	128	2	64	2	2	8	64	1.209631	0.000022	0.001930	0.726870	5.404940	0.128813	0.060482	19.034000	0.148292
specmcf	128	8	128	4	4	4	256	1.161820	0.000010	0.000690	0.471585	37.111200	0.306030	0.058091	130.367200	2.317618
specmcf	32	16	64	2	2	8	64	1.209631	0.000022	0.001930	0.726835	5.284600	0.098600	0.060482	17.144600	0.102242
specmcf	32	1	64	2	2	8	64	1.326278	0.016207	0.001929	0.068656	3.835520	0.094355	0.066314	14.195420	0.088822
specmcf	32	2	64	1	2	8	64	1.340752	0.020321	0.002501	0.054801	3.860870	0.095247	0.067038	14.188850	0.090598
specmcf	32	2	64	2	1	8	64	1.342337	0.020323	0.001930	0.060102	3.759560	0.095022	0.067117	11.390630	0.072645
specmcf	32	2	64	2	2	16	64	1.337715	0.020323	0.001930	0.056082	3.866910	0.095283	0.066886	14.902350	0.094974
specmcf	32	2	64	2	2	4	64	1.337731	0.020323	0.001930	0.056076	3.865030	0.095255	0.066887	14.910740	0.095002
specmcf	32	2	64	2	2	8	128	1.300766	0.020417	0.001196	0.030982	9.228860	0.115410	0.065038	49.473500	0.371350
